Ê³ÎïÃû³Æ,ÄÜÁ¿£¨Ç§¿¨£©,µ°°×ÖÊ£¨¿Ë£©,Ö¬·¾£¨¿Ë£©,Ì¼Ë®»¯ºÏÎï£¨¿Ë£©,´ÖÏËÎ¬£¨¿Ë£©,µ¥²»±¥ºÍÖ¬·¾Ëá£¨¿Ë£©,¶à²»±¥ºÍÖ¬·¾Ëá£¨¿Ë£©,ºúÂÜ²·ËØ£¨Î¢¿Ë£©,Ò¶»ÆËØÀà£¨Î¢¿Ë£©,¸Æ£¨ºÁ¿Ë£©,Ã¾£¨ºÁ¿Ë£©,ÄÆ£¨ºÁ¿Ë£©,¼Ø£¨ºÁ¿Ë£©,Á×£¨ºÁ¿Ë£©,Áò£¨ºÁ¿Ë£©,ÂÈ£¨ºÁ¿Ë£©,Ìú£¨ºÁ¿Ë£©,Ð¿£¨ºÁ¿Ë£©,Îø£¨Î¢¿Ë£©,Í­£¨ºÁ¿Ë£©,ÃÌ£¨ºÁ¿Ë£©,Î¬ÉúËØA£¨Î¢¿Ë£©,Î¬ÉúËØC£¨ºÁ¿Ë£©,Î¬ÉúËØE£¨ºÁ¿Ë£©,Î¬ÉúËØB1£¨Áò°·ËØ£©£¨ºÁ¿Ë£©,Î¬ÉúËØB2£¨ºË»ÆËØ£©£¨ºÁ¿Ë£©,Î¬ÉúËØB3£¨ÑÌËá£©£¨ºÁ¿Ë£©,Î¬ÉúËØB4£¨µ¨¼î£©£¨ºÁ¿Ë£©,Î¬ÉúËØB5£¨·ºËá£©£¨ºÁ¿Ë£©,Î¬ÉúËØB6£¨ºÁ¿Ë£©,Î¬ÉúËØB9£¨Ò¶Ëá£©£¨Î¢¿Ë£©,Î¬ÉúËØB12£¨Î¢¿Ë£©,Î¬ÉúËØB14£¨Ìð²Ë¼î£©£¨ºÁ¿Ë£©,ÁÁ°±Ëá£¨ºÁ¿Ë£©,µ°°±Ëá£¨ºÁ¿Ë£©,ËÕ°±Ëá£¨ºÁ¿Ë£©,Àµ°±Ëá£¨ºÁ¿Ë£©,É«°±Ëá£¨ºÁ¿Ë£©,çÓ°±Ëá£¨ºÁ¿Ë£©,×é°±Ëá£¨ºÁ¿Ë£©,ÒìÁÁ°±Ëá£¨ºÁ¿Ë£©
Ëâ³¦,309,7.5,25.4,12.7,0,11.3,2.4,0,0,13,9,561.5,92,74,138.11,865.83,1.9,1.8,3.5,0.04,0.18,0,0,0.27,0.06,0.15,1,0,0,0,0,0,0,613,122,0,530,74,387,203,273
Ïã³¦,508,24.1,40.7,11.2,0,18.1,3.9,0,0,14,52,2309.2,453,198,205.52,3560.79,5.8,7.61,8.77,0.31,0.36,0,0,1.05,0.48,0.11,4.4,0,0,0,0,0,0,1901,408,1098,2015,342,1228,890,1106
»ðÍÈ³¦,212,14,10.4,15.6,0,4.6,1,0,0,9,22,771.2,217,187,110.16,1189.19,4.5,3.22,9.2,0.36,0.14,0,0,0.71,0.26,0.43,2.3,39.1,0,0.01,0,0,0,1096,280,601,1101,212,688,560,644
´óÈâ³¦,273,12,22.9,4.6,0,10.2,2.2,0,0,67,27,1370.4,233,97,158.18,2113.16,3.1,2.55,5.1,0.11,0.07,4.8,0,0,0.24,0.06,7.4,78.2,0,0.33,5,1.3,4.2,993,486,574,1069,166,632,486,570
·ç¸É³¦,283,12.4,23.3,5.9,0,10.4,2.2,0,0,18,7,618,163,121,0.01,952.96,3.5,1.4,3.5,0.11,0.03,0,0,0,0.12,0.09,12.6,0,0,0,0,0,0,952,0,560,1009,166,618,416,581
À°³¦,584,22,48.3,15.3,0,22.6,4.8,0,0,24,13,1420,100,69,0,2189.64,3.2,2.48,8.77,0.07,0.16,0,0,0,0.04,0.12,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
¹ãÊ½Ïã³¦£¨¹ã¶«Ïã³¦£©,433,18,37.3,6.4,0,16.6,3.5,0,0,5,24,1477.9,356,173,0.04,2278.92,2.8,2.62,7.02,0.07,0.04,0,0,0,0.42,0.07,5.7,0,0,0,0,0,0,1535,0,913,1770,188,990,813,900
ÖíÈâËÉ,396,23.4,11.5,49.7,0,4.9,2.4,0,0,41,55,469,313,162,158.34,723.2,6.4,4.28,8.77,0.13,0.6,0,0,10.02,0.04,0.13,3.3,86.8,0,0,5.3,0,0,1859,307,1035,1766,312,1206,698,1038
ÖíÖâ£¨Êì£©,314,21.3,24.5,2.1,0,12.6,2.4,0,0,55,6,753.9,106,102,231.32,1162.51,1.6,2.66,11.1,0.12,0.07,4.2,0,0,0.04,0.09,3.8,90.3,0.83,0.442,0,0.5,3.6,2137,712,1142,2309,309,1313,1056,1229
ÖíÌã£¨Êì£©,260,23.6,17,3.2,0,9.7,1.4,0,0,32,3,363.2,18,52,208.9,560.05,2.4,0.78,4.2,0.08,0,4.2,0,0,0.13,0.04,2.8,90.3,0.83,0.442,0,0.5,3.6,1171,712,688,939,56,639,328,336
ÖíÈâ£¨ÇåÕô£©,198,18.4,13.8,0,0,9.25,1.87,0,0,4,9,210.6,134,113,233.79,324.75,3.4,3.18,10.55,0.15,0,2.4,0,0,0.09,0.07,2.8,88.3,0.52,0.391,6,0.54,3.4,2061,680,1173,2310,326,1394,1026,1203
Öí¸Î£¨Â±Öó£©,203,26.4,8.3,5.6,0,2.5,0.7,0,0,68,12,674.7,188,153,96.44,1040.39,2,0.35,28.7,0.39,0.27,5399.1,0,0.14,0.36,0.42,0,0,4.774,0.57,163,18.67,0,2000,200,1401,2083,538,1742,719,1074
ÏÌÈâ,390,16.5,36,0,0,14.9,4,0,0,10,30,195.6,387,112,132.21,301.62,2.6,2.04,13,0.11,0.08,11.1,0,0.1,0.77,0.21,3.5,47.8,0.555,0.266,0,0.5,3.7,1302,278,688,1425,247,800,558,738
À°Èâ,498,11.8,48.8,2.9,0,17.439,6.454,0,0,22,35,763.9,416,249,112.3,1177.93,7.5,3.49,23.52,0.08,0.05,11.1,0,6.23,0,0,0,47.8,0.555,0.266,0,0.5,3.7,1039,346,555,1123,150,638,513,598
Îç²ÍÈâ,229,9.4,15.9,12,0,14.29,3.56,0,0,57,18,981.9,146,81,128.76,1514.09,0.8,1.39,4.3,0.08,0.06,0,0,0,0.24,0.05,11.1,61.8,0.473,0.21,6,0,4.1,952,333,487,931,122,653,357,571
À°Èâ£¨Åà¸ù£©,181,22.3,9,2.6,0,4.5,0.7,0,0,2,3,51.2,294,228,175.29,78.95,2.4,2.26,5.5,0.03,0.05,11.1,0,0.11,0.9,0.11,4.5,119.3,1.033,0.309,2,1.16,3.4,1745,446,957,1753,337,1096,892,1027
²æÉÕÈâ,279,23.8,16.9,7.9,0,8.8,1.7,0,0,8,28,818.8,430,218,195.58,1262.59,2.6,2.42,8.41,0.1,0.2,0,0,0.68,0.66,0.23,7,0,0,0,0,0,0,1877,534,1085,2011,290,1181,844,1110
ÖíÑª,55,12.2,0.3,0.9,0,0.1,0,0,0,4,5,56,56,16,0,86.35,8.7,0.28,7.94,0.1,0.03,0,0,0.2,0.03,0.04,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ÖíÐ¡³¦,65,10,2,1.7,0,0.5,0.4,0,0,7,16,204.8,142,95,0.01,315.8,2,2.77,7.22,0.12,0.13,0,0,0.13,0.12,0.11,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ÖíÉö£¨ÖíÑü×Ó£©,137,16,8.1,0,0,0.8,0.5,0,0,12,22,134.2,217,215,122,206.94,6.1,2.56,111.77,0.58,0.16,59.4,13,0.34,0.29,0.69,8,0,3.13,0.44,42,8.49,0,1257,268,618,953,235,792,366,614
ÖíÐÄ,119,16.6,5.3,1.1,0,1.6,0.9,0,0,12,17,71.2,260,189,147.84,109.79,4.3,1.9,14.94,0.37,0.05,7.5,4,0.74,0.19,0.48,6.8,0,2.515,0.39,4,3.79,0,1359,387,686,1221,231,810,391,702
ÖíÆ¢,94,13.2,3.2,3.1,0,0.69,0.19,0,0,1,14,26.1,234,111,132.32,40.25,11.3,1.44,16.5,0.06,0.02,0,0,0.33,0.09,0.26,0.6,0,1.055,0.06,4,3.26,0,1460,331,714,1334,183,971,426,797
ÖíÉà£¨Öí¿ÚÌõ£©,233,15.7,18.1,1.7,0,8.1,2,0,0,13,14,79.4,216,163,128.45,122.43,2.8,2.12,11.74,0.18,0.04,0,0,0.73,0.13,0.3,4.6,143.4,0.641,0.14,1.7,2.84,0,1108,325,586,1132,186,707,402,611
ÖíÍ·Èâ,499,11.8,44.6,12.7,0,21,4.4,0,0,13,56,72.4,62,37,0.01,111.64,1.7,1.18,0,0.08,1.25,0,0,0.15,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Öí¸Î,129,19.3,3.5,5,0,0.52,0.87,0,0,6,24,68.6,235,310,170.21,105.78,22.6,5.78,19.21,0.65,0.26,6495,20,0.86,0.21,2.08,15,0,6.65,0.69,212,26,0,1671,424,809,1273,265,1067,474,783
ÖíÖâ°ô,248,16.5,16,9.4,0,7.8,1.6,0,0,19,5,80,148,122,149.65,123.36,1.5,1.54,7.3,0.13,0,0,0,0,0.1,0.09,6.6,0,0,0,0,0,0,1009,352,627,1087,236,683,489,595
Öí¶Ç,110,15.2,5.1,0.7,0,1.8,0.4,0,0,11,12,75.1,171,124,98.1,115.8,2.4,1.92,12.76,0.1,0.12,3,0.3,0.32,0.07,0.16,3.7,0,0.256,0.13,1,0.84,0,1002,229,572,865,94,655,280,508
Öí·Î,84,12.2,3.9,0.1,0,1.5,0.4,0,0,6,10,81.4,210,165,96.81,125.52,5.3,1.21,10.77,0.08,0,0,0,0.45,0.04,0.18,1.8,0,0.9,0.1,3,2.75,0,992,187,420,726,97,703,270,404
ÖíÄÔ,131,10.8,9.8,0,0,2.7,0.4,0,0,30,10,130.7,259,294,49.67,201.54,1.9,0.99,12.65,0.32,0.03,0,0,0.96,0.11,0.19,2.8,0,0,0.19,6,2.19,0,768,0,403,621,85,620,234,328
ÖíÐ¡ÅÅ,278,16.7,23.1,0.7,0,2.762,0.966,0,0,14,14,62.6,230,135,130.52,96.53,1.4,3.36,11.05,0.17,0.02,2.4,0,0.11,0.3,0.16,4.5,81.4,1.609,0.11,0.5,1,4.3,1250,330,710,1310,70,740,540,600
ÖíÌã½î,156,35.3,1.4,0.5,0,0,0,0,0,15,4,178,46,40,115.9,274.48,2.2,2.3,10.27,0.04,0.02,0,0,0.1,0.01,0.09,2.9,0,0,0,0,0,0,1506,282,770,1392,47,1452,363,527
ÖíÌã,260,22.6,18.8,0,0,7.8,2.1,0,0,33,5,101,54,33,176.99,155.74,1.1,1.14,5.85,0.09,0.01,6,0,0.01,0.05,0.1,1.5,68.2,0.594,0.475,0,0.54,2.6,1636,545,874,1768,237,1005,808,941
Öí¶ú,176,19.1,11.1,0,0,6.86,1.61,0,0,6,3,68.2,58,28,82,105.16,1.3,0.35,4.02,0,0.01,0,0,0.85,0.05,0.12,3.5,0,0.068,0.02,0,0.07,0,1167,133,629,1052,43,830,269,492
Öí´óÅÅ,264,18.3,20.4,1.7,0,2.756,0.964,0,0,8,17,44.5,274,125,164.77,68.62,0.8,1.72,10.3,0.12,0.05,2.4,0,0.11,0.8,0.15,5.3,54.8,0.693,0.682,0,0.54,3,1234,417,818,1388,349,799,610,684
Öí´ó³¦,196,6.9,18.7,0,0,7.2,2,0,0,10,8,116.3,44,56,32.05,179.33,1,0.98,16.95,0.06,0.07,0,0,0.5,0.06,0.11,1.9,0,0,0,0,0,0,514,0,274,457,0,332,143,245
ÖíÈâ£¨²±×Ó£©,577,8,60.5,0,0,30.6,7,0,0,4,7,54,99,77,151.98,83.27,1.2,0.59,2.21,0.14,0,2.1,0.7,0.61,0.21,0.07,1.7,60.6,0.719,0.348,5,0.74,2.8,462,441,243,470,94,287,219,264
ÖíÈâ£¨ÍÈ£©,190,17.9,12.8,0.8,0,5.3,1.4,0,0,6,25,63,295,185,156.24,97.15,0.9,2.18,13.4,0.14,0,2.1,0.7,0.3,0.53,0.24,4.9,0,0.685,0.401,7,0.63,0,1533,452,794,1489,265,806,695,787
ÖíÈâ£¨ÊÝ£©,143,20.3,6.2,1.5,0,0.792,0.367,0,0,6,25,57.5,305,189,158.18,88.66,3,2.99,9.5,0.11,0.03,0,0,0.34,0.54,0.1,5.3,80.8,0.846,0.777,0,0.51,0,1694,420,926,1521,267,1050,735,922
ÖíÈâ£¨Ç°Öâ£©,287,17.3,22.9,2.9,0,15.3,3.2,0,0,5,16,122.3,137,181,125.54,188.59,3.5,2.07,32.48,0.22,0,0,0,0.58,0.28,0.13,3.4,0,0,0,0,0,0,1267,169,765,1459,133,787,538,705
ÖíÈâ£¨ÄÌÃæ£©,339,13.6,30.6,2.2,0,13.3,3.5,0,0,6,15,52,168,120,122.49,80.18,1.3,2.2,6.05,0.12,0.01,0,0,0.2,0.36,0.15,3.1,0,0,0,0,0,0,917,310,608,1032,260,594,454,508
ÖíÈâ£¨ÄÌ¸¬£©,349,7.7,35.3,0,0,19.5,2.1,0,0,5,5,36.7,53,67,37.24,56.59,0.8,0.73,2.22,0.13,0,0,0,0.49,0.14,0.06,2,0,0,0,0,0,0,531,39,341,621,119,747,265,292
ÖíÈâ£¨Àï¼¹£©,155,20.2,7.9,0.7,0,3.3,0.9,0,0,6,28,43.2,317,184,171.53,66.61,1.5,2.3,5.25,0.16,0.03,0,0,0.59,0.47,0.12,5.2,79.7,0.837,0.765,0,0.52,3,1505,502,770,1623,227,854,701,842
ÖíÈâ£¨ÀßÌõÈâ£©,568,9.3,59,0,0,25.6,6.8,0,0,6,17,80,214,96,182.67,123.36,1,1.61,3.7,0.05,0.02,2.4,0,0.05,0.09,0.04,2.4,54.8,0.693,0.682,0,0.54,3,1728,559,911,1881,214,1060,876,998
ÖíÈâ£¨ºóÖâ£©,320,17,28,0,0,11.6,3.1,0,0,6,12,76.8,188,142,150.76,118.43,1,1.77,6.87,0.19,0.01,0,0,0.48,0.37,0.18,2.6,0,0,0,0,0,0,1123,172,987,1862,138,980,744,907
½ÍÄ¸£¨ÏÊ£©,106,2.6,1.9,23.9,8.1,1.047,0.004,0,0,9,54,13.6,448,409,65.8,20.97,7.1,3.08,2.82,20.12,0.63,0,0.1,250.75,1.88,0.81,4.3,32,4.9,0.43,785,0.01,0,668,166,435,690,106,512,217,476
Î¶¾«,268,40.1,0.2,26.5,0,0,0,0,0,100,7,8160,4,4,0.01,12582.7,1.2,0.31,0.98,0.12,0.67,0,0,0,0.08,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ÍÁÑÎ,0,0,0,0,0,0,0,0,0,49,248,39000,30,11,0,60138,2.6,0.09,3.62,0.2,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
¾«ÑÎ,0,0,0,0,0,0,0,0,0,22,2,39311,14,0,0,60617.6,1,0.24,1,0.14,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ºþÑÎ£¨ÇàÑÎ£©,11,0.1,0,2.7,0,0,0,0,0,552,463,36494.5,192,0,0,56274.5,25.3,0.65,0.3,0.38,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
°ÙÀïÏã£¨¸ÉÔï£©,276,9.11,7.43,63.94,37,0.47,1.19,2264,1928,1890,220,55,814,201,0.054891,84.81,123.6,6.18,4.6,0.86,7.867,1140,50,7.48,0.513,0.399,4.94,43.6,0,0.55,274,0,0,430,0,252,207,186,502,0,468
ÁúÝï£¨¸ÉÔï£©,295,22.77,7.24,50.22,7.4,0.474,3.698,0,0,1139,347,62,3020,313,0.026857,95.604,32.3,3.9,4.4,0.677,7.967,1260,50,0,0.251,1.339,8.95,0,0,2.41,274,0,0,0,0,0,0,0,0,0,0
ÃÔµüÏã£¨¸ÉÔï£©,331,4.88,15.22,64.06,42.6,3.014,2.339,0,0,1280,220,50,955,70,0.054998,77.1,29.25,3.23,4.6,0.55,1.867,938.4,61.2,0,0.514,0.428,1,0,0,1.74,307,0,0,0,0,0,0,0,0,0,0
¶¹Þ¢,311,10.76,6.7,68.47,28,0.87,0.43,0,0,383,229,18,1119,178,0.021186,27.756,13.97,7.47,0,0.383,28,0,21,0,0.198,0.182,1.102,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0
¸ðÂÆ×Ó×Ñ,333,19.77,14.59,49.9,38,7.125,3.272,214,470,689,258,17,1351,568,165.499,26.214,16.23,5.5,12.1,0.91,1.3,108.9,21,2.5,0.383,0.379,3.606,24.7,0,0.36,10,0,0,1218,361,756,1031,244,1037,550,826
×ÎÈ»,375,17.81,22.27,44.24,10.5,14.04,3.279,762,448,931,366,168,1788,499,0.067196,259.056,66.36,4.8,5.2,0.867,3.333,381,7.7,3.33,0.628,0.327,4.579,24.7,0,0.435,10,0,0,0,0,0,0,0,0,0,0
ÏãÒ¶,313,7.61,8.36,74.97,26.3,1.64,2.29,0,0,834,120,23,529,113,0.000963,35.466,43,3.7,2.8,0.416,8.167,1855.5,46.5,0,0.009,0.421,2.005,0,0,1.74,180,0,0,0,0,0,0,0,0,0,0
ÊóÎ²²Ý,315,10.63,12.75,60.73,40.3,1.87,1.76,3485,2004,1652,428,11,1070,91,0.080678,16.962,28.12,4.7,3.7,0.757,3.133,1770,32.4,7.48,0.754,0.336,5.72,43.6,0,2.69,274,0,0,0,0,0,0,0,0,0,0
ºúÂ«°Í×Ñ,323,23,6.41,58.35,24.6,0,0,0,0,176,191,67,770,296,171.227,103.314,33.53,2.5,6.3,1.11,1.228,18,3,0,0.322,0.366,1.64,0,0,0.6,57,0,0,1757,338,898,1684,391,1102,668,1241
½ª»Æ·Û,312,9.68,3.25,67.14,22.7,0.449,0.756,0,0,168,208,27,2080,299,70.1562,41.634,55,4.5,6.2,1.3,19.8,0,0.7,4.43,0.058,0.15,1.35,49.2,0.542,0.107,20,0,9.7,810,140,330,380,170,660,150,470
ó¿ËÚ×Ñ,525,17.99,41.56,28.13,19.5,5.982,28.569,0,0,1438,347,26,719,870,187.32,40.092,9.76,7.9,13.5,1.627,6.707,0,1,1.77,0.854,0.1,0.896,8.8,0.324,0.247,82,0,0.9,1321,502,686,952,184,1095,471,819
ºú½··Û£¨ºÚÉ«£©,251,10.39,3.26,63.95,25.3,0.739,0.998,322,479,443,171,20,1329,158,57.4976,30.84,9.71,1.19,4.9,1.33,12.753,164.1,0,1.04,0.108,0.18,1.143,11.3,1.399,0.291,17,0,8.9,1014,96,244,244,58,547,159,366
À±½··Û,282,14.14,12.89,53.99,34.9,1.695,7.766,26757,25130,229,178,68,2280,314,104.445,104.856,21.14,4.33,6.3,0.713,1.59,14776.2,0.9,29.1,0.33,1.23,10.06,51.5,2.51,2.141,49,0,7.1,920,200,490,690,70,750,250,570
Å£ÖÁ£¨ÍÑË®£©,265,9,4.28,68.92,42.5,0.716,1.369,1027,1902,1597,270,25,1260,148,56.6939,38.55,36.8,2.69,4.5,0.633,4.99,510.3,2.3,18.26,0.177,0.528,4.64,32.3,0.921,1.044,237,0,9.8,780,127,322,500,203,585,144,441
Ñó´Ð·Û,341,10.41,1.04,79.12,15.2,0.202,0.31,0,0,384,113,73,985,322,40.7589,112.566,3.9,4.05,14.3,0.59,1.3,0,23.4,0.27,0.457,0.08,0.321,39,0.732,0.718,64,0,0.4,220,90,140,490,60,170,160,140
½æÄ©,508,26.08,36.24,28.09,12.2,22.518,10.088,18,568,266,370,13,738,828,285.491,20.046,9.21,6.08,208.1,0.645,2.448,9.3,7.1,5.07,0.805,0.261,4.733,122.7,0.81,0.397,162,0,1.9,2080,483,838,1844,256,1509,878,1183
½ª·Û,335,8.98,4.24,71.62,14.1,0.479,0.929,18,0,114,214,27,1320,168,45.5729,41.634,19.8,3.64,55.8,0.48,33.3,9,0.7,0,0.046,0.17,9.62,41.2,0.477,0.626,13,0,3.4,513,89,289,241,152,411,199,341
ÖíÈâ£¨·Ê£©,807,2.4,88.6,0,0,37.855,17.801,0,0,3,2,19.5,23,18,82.39,30.07,1,0.69,7.78,0.05,0.03,25.8,0,0.24,0.08,0.05,0.9,31,0.43,0.143,0,0.67,1.2,761,254,407,823,110,468,376,438
¼¦¾«,267,16.66,13.88,18.01,0,5.36,4.48,0,0,187,56,23875,309,166,0.0107,36815.2,1.03,0.09,28,0,0.15,0.6,1.1,0.46,0.1,0.43,2.46,114.6,0.6,0.1,32,0.3,0,0,0,0,0,0,0,0,0
ÖíÈâ,395,13.2,37,2.4,0,9.44,1.91,0,0,6,16,59.4,204,162,80.86,91.59,1.6,2.06,11.97,0.06,0.03,2.1,0,0.35,0.22,0.16,3.5,0,0.668,0.383,5,0.7,0,913,181,467,904,152,589,360,519
½ÍÄ¸£¨¸É£©,372,47.6,1.7,45.5,7.9,4.309,0.017,0,0,106,54,51,955,1893,261.05,78.64,18.2,7.94,7.9,0.436,0.312,0,0.3,0,6.56,3.35,45.2,32,13.5,1.5,2340,0.07,3.4,2920,590,1990,3280,540,2310,910,1890
Èâ¹ð,247,3.99,1.24,80.59,53.1,0.246,0.068,113,351,1002,60,10,431,64,32.2584,15.42,8.32,1.83,3.1,0.339,17.466,88.5,3.8,2.32,0.022,0.041,1.332,11,0.358,0.158,6,0,3.9,253,78,136,243,49,224,117,146
À±½··Û,282,13.46,14.28,49.7,34.8,3.211,8.006,17090,3800,330,149,2867,1950,300,76.0368,4420.91,17.3,4.3,20.4,1,1.7,8895,0.7,38.14,0.25,0.94,11.6,66.5,0.888,2.094,28,0,2.7,630,130,270,360,70,540,180,390
ÌÀ£¨À­Ãæ¡¢Å£ÈâÎ¶¡¢¸É£©,441,10.06,17.73,60.34,3,6.189,2.191,0,0,21,25,1727,177,115,0.051253,2663.03,3.93,0.61,19.6,0.122,0.644,0,0.6,2.49,0.479,0.258,5.139,5.3,0.448,0.037,111,0,19.2,0,0,0,0,0,0,0,0
ÖíÈâ£¨ºóÍÎ¼â£©,336,14.6,30.8,0,0,13.4,3.6,0,0,5,12,57.5,178,130,129.47,88.66,1,0.84,2.94,0.13,0,4.8,0,0.95,0.26,0.11,2.8,69.6,0.63,0.506,1,0.4,2.7,1355,286,763,1496,163,828,726,772
¿§à¬·Û,325,14.29,14.01,55.83,53.2,8.782,3.056,11,0,525,255,52,1170,367,94.2688,80.184,19.1,4.7,40.3,1.2,8.3,5.7,0.7,25.24,0.176,0.2,3.26,64.2,1.07,0.105,56,0,28.8,890,190,350,700,110,750,290,630
¶¡Ïã·Û,274,5.97,13,65.53,33.9,1.393,3.606,45,103,632,259,277,1020,104,35.9069,427.134,11.83,2.32,7.2,0.368,60.127,48,0.2,8.82,0.158,0.22,1.56,37.4,0.509,0.391,25,0,1.4,400,80,180,370,30,340,130,240
ÂÞÀÕ£¨ÍÑË®£©,233,22.98,4.07,47.75,37.7,1.238,0.498,491,1174,2240,711,76,2630,274,119.539,117.192,89.8,7.1,3,2.1,9.8,223.2,0.8,10.7,0.08,1.2,4.9,54.9,0.838,1.34,310,0,16.1,1850,320,760,1150,260,1450,450,1060
²Øºì»¨,310,11.43,5.85,65.37,3.9,0.429,2.067,1169,2432,111,264,148,1724,252,0.012305,228.216,11.1,1.09,5.6,0.328,28.408,159,80.8,0,0.115,0.267,1.46,0,0,1.01,93,0,0,0,0,0,0,0,0,0,0
°ÙÀïÏã,101,5.56,1.68,24.45,14,0.081,0.532,2851,0,405,160,9,609,106,0.005136,13.878,17.45,1.81,0,0.555,1.719,1425.3,160.1,0,0.048,0.471,1.824,0,0.409,0.348,45,0,0,262,0,154,126,114,307,0,285
Ïã²Ë£¨ÍÑË®£©,292,26.63,5.48,50.64,26.7,0.761,3.124,1169,2432,1140,400,452,2683,436,207.727,696.984,22.04,5.44,14.1,0.78,9.81,581.7,125,8.96,0.196,2.383,9.943,97.1,1.062,0.9,180,0,1.7,2794,596,1193,2098,475,2021,718,1546
ÂíÓôÀ¼£¨ÍÑË®£©,271,12.66,7.04,60.56,40.3,0.94,4.405,4806,1965,1990,346,77,1522,306,0.030923,118.734,82.71,3.6,4.5,1.133,5.433,2420.4,51.4,1.69,0.289,0.316,4.12,43.6,0,1.19,274,0,0,0,0,0,0,0,0,0,0
ÇÛ²Ë×Ñ,392,18.07,25.27,41.35,11.8,15.93,3.72,31,0,1767,440,160,1400,547,0.03638,246.72,44.9,6.93,12.1,1.37,7.567,15.6,17.1,1.07,0.34,0.29,3.06,24.7,0,0.89,10,0,0,0,0,0,0,0,0,0,0
ÃÔµüÏã,131,3.31,5.86,20.7,14.1,1.16,0.901,0,0,317,91,26,668,66,19.9879,40.092,6.65,0.93,0,0.301,0.96,877.2,21.8,0,0.036,0.152,0.912,0,0.804,0.336,109,0,0,249,47,136,143,51,165,66,136
È«ÁÏÕôÈâ·Û,343,8.9,1.2,74.3,0.4,0,0,0,0,52,31,1678.8,140,125,0,2588.71,6.5,2.3,60.78,0.28,0,0,0,0,0.01,0.32,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
±¡ºÉ,70,3.75,0.94,14.89,8,0.033,0.508,0,0,243,80,31,569,73,22.3508,47.802,5.08,1.11,0,0.329,1.176,1274.4,31.8,0,0.082,0.266,1.706,0,0.338,0.129,114,0,0,281,53,154,161,58,187,75,154
´ÌÉ½¸Ì£¨¹ÞÍ·£©,23,2.36,0.86,4.89,3.2,0.063,0.304,83,0,40,33,2348,40,10,0.001926,3620.62,1.67,0.32,1.2,0.374,0.078,41.4,4.3,0.88,0.018,0.139,0.652,6.5,0.027,0.023,23,0,0,0,0,0,0,0,0,0,0
À±½··Û,290,15.2,9.5,57.7,43.5,1.695,7.766,26757,25130,146,223,100,1358,374,152.11,154.2,20.7,1.52,8,0.95,1.46,14776.2,0.9,15.33,0.01,0.82,7.6,51.5,2.51,2.141,49,0,7.1,899,212,586,727,166,737,292,578
ÜîÏã×Ñ,318,14.5,11.8,55.5,33.9,0,0,320,0,751,336,79.6,1104,336,99.43,122.74,0.9,3.46,1.98,1.76,3.14,53,0,0.7,0.04,0.36,7.1,0,0,0,0,0,0,881,147,525,759,237,709,306,541
ÝªÂÜ,43,3.46,1.12,7.02,2.1,0.802,0.095,0,0,208,55,61,738,66,6.91021,94.062,6.59,0.91,0,0.146,1.264,2315.4,85,0,0.058,0.296,1.57,0,0.397,0.185,150,0,0,159,11,68,246,14,154,71,195
ÎåÏã·Û,359,1,8,73.3,5.3,0,0,0,0,181,88,27.2,1138,66,0,41.94,34.4,2.79,5.73,1.25,0,0,0,9.59,0,0.03,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
½æÄ©,490,23.6,29.9,35.3,7.2,22.518,10.088,190,568,656,321,7.8,366,530,232.75,12.03,17.2,3.62,69.01,0.63,3.05,32,7.1,9.83,0.17,0.38,4.8,122.7,0.81,0.397,162,0,1.9,1434,238,864,1185,300,984,584,825
¿à¶¹×Ó,270,4.6,2.4,72.3,29.4,0,0,0,0,332,44,28.1,26,97,0.01,43.33,4.5,0.92,13.72,0.37,0.77,0,0,54.55,0.14,0.65,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
»ÆÃ«×Ñ,330,21,15.6,50.4,48.1,0,0,0,0,868,323,42.7,604,539,260.74,65.84,15.9,2.56,20.49,1.38,3.03,0,0,0,0,0,0,0,0,0,0,0,0,1603,408,810,963,359,1249,526,1024
»¨½·,316,6.7,8.9,66.5,28.7,0,0,140,0,639,111,47.4,204,69,58.91,73.09,8.4,1.9,1.96,1.02,3.33,23,0,2.47,0.12,0.43,1.6,0,0,0,0,0,0,377,74,220,306,61,268,86,224
